Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
2019000054811,02/13/2019,1139,02/13/2019,1239,TRESPASS,TRESPASS,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2019000054812,02/08/2019,0,02/13/2019,1019,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTHWEST,W,W3,FAUNTLEROY SW
2019000054840,02/13/2019,1037,02/13/2019,1037,TRESPASS,TRESPASS,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2019000054853,02/13/2019,757,02/14/2019,700,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M1,DOWNTOWN COMMERCIAL
2019000054857,02/08/2019,1200,02/13/2019,1153,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,E,E1,CAPITOL HILL
2019000054867,02/09/2019,1206,02/13/2019,1058,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B2,FREMONT
2019000054882,02/07/2019,2200,02/13/2019,1114,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,EAST,E,E2,CAPITOL HILL
201900005489,01/04/2019,2156,01/04/2019,2156,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-BODYFORCE,NORTH,B,B3,WALLINGFORD
2019000054904,02/13/2019,1110,02/13/2019,1135,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,D,D2,SLU/CASCADE
2019000054905,02/13/2019,1127,02/13/2019,1127,TRESPASS,TRESPASS,WEST,K,K2,PIONEER SQUARE
2019000054928,02/11/2019,130,02/13/2019,1147,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,NORTH,U,U2,UNIVERSITY
2019000054949,02/11/2019,1500,02/13/2019,1158,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,Q,Q1,MAGNOLIA
2019000054962,02/12/2019,800,02/13/2019,1219,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,R,R1,NORTH BEACON HILL
2019000054973,02/13/2019,1222,02/13/2019,1222,CAR PROWL,THEFT-CARPROWL,NORTH,U,U1,UNIVERSITY
201900005499,01/04/2019,2208,01/04/2019,2208,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,WEST,K,K2,DOWNTOWN COMMERCIAL
20190000550,01/01/2019,1105,01/01/2019,1200,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,N,N2,NORTHGATE
