DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
"100101330,08/12/2010,08/11/2010,2140,01,Central,0166,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0103 0319 0373 0416 0417 1212 1218 1402 2002,0,M,O,102,SIDEWALK,400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",IC,Invest Cont,231,,,,6TH,SAN PEDRO,""(34.0423, -118.2452)"""
"100101378,08/23/2010,08/23/2010,0020,01,Central,0119,888,TRESPASSING,,40,M,W,215,""TRAIN DEPOT/TERMINAL, OTHER THAN MTA"",,,IC,Invest Cont,888,,,,800 N  ALAMEDA                      ST,,""(34.0563, -118.2374)"""
"100101419,09/04/2010,09/04/2010,1735,01,Central,0159,210,ROBBERY,0344 0400,0,M,H,202,LIQUOR STORE,400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",AA,Adult Arrest,210,,,,1800    INDUSTRIAL                   ST,,""(34.0359, -118.2344)"""
"100101435,09/09/2010,09/08/2010,1155,01,Central,0138,341,""THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"",,40,M,W,102,SIDEWALK,,,AA,Adult Arrest,341,,,,200    BOYD                         ST,,""(34.0478, -118.2454)"""
"100101453,09/19/2010,09/18/2010,1325,01,Central,0143,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416,7,M,B,109,PARK/PLAYGROUND,400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",IC,Invest Cont,627,,,,5TH,HILL,""(34.0488, -118.2518)"""
"100101469,09/25/2010,09/24/2010,2045,01,Central,0138,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",1300,0,M,O,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,740,,,,BOYD,SAN PEDRO,""(34.0467, -118.2427)"""
"100101477,09/25/2010,09/25/2010,1430,01,Central,0158,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0400 1300 1310 2000,32,M,B,122,""VEHICLE, PASSENGER/TRUCK"",400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",AO,Adult Other,236,624,,,900 E  7TH                          ST,,""(34.039, -118.2444)"""
"100101496,10/10/2010,10/10/2010,1130,01,Central,0111,946,OTHER MISCELLANEOUS CRIME,0400,9,M,O,101,STREET,,,IC,Invest Cont,946,,,,ALPINE,BROADWAY,""(34.0623, -118.2383)"""
"100101498,10/11/2010,10/11/2010,2030,01,Central,0135,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",0311 0329,26,M,H,738,LIBRARY,,,AA,Adult Arrest,740,,,,200 S  LOS ANGELES                  ST,,""(34.0503, -118.2433)"""
"100101521,10/18/2010,10/18/2010,0600,01,Central,0159,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,0400 0416 0429 0553 1257,0,M,H,102,SIDEWALK,400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",AO,Adult Other,235,,,,7TH,MILL,""(34.0347, -118.2345)"""
